"symbol","name","market_cap","sector","industry","exchange"
"ENTA","Enanta Pharmaceuticals, Inc.","330895041.72","Health Care","Major Pharmaceuticals","nasdaq"
"EPHC","Epoch Holding Corporation","499545353.49","Finance","Investment Managers","nasdaq"
"EPOC","Epocrates, Inc.","237242919.8","Technology","EDP Services","nasdaq"
"EPZM","Epizyme, Inc.","0","n/a","n/a","nasdaq"
"ERS","Empire Resources, Inc.","40775051.0598","Basic Industries","Metal Fabrications","nasdaq"
"ESXB","Community Bankers Trust Corporation.","70469629.75","Finance","Major Banks","nasdaq"
"EVRY","EveryWare Global, Inc.","219351461.35","Finance","Business Services","nasdaq"
"FABK","First Advantage Bancorp","56893935.25","Finance","Savings Institutions","nasdaq"
"FACE","Physicians Formula Holdings, Inc.","67063645.83","Consumer Non-Durables","Package Goods/Cosmetics","nasdaq"
"FCAL","First California Financial Group, Inc.","194026729.52","Finance","Major Banks","nasdaq"
"FCFC","FirstCity Financial Corporation","85188509.79","Finance","Finance Companies","nasdaq"
"FLL","Full House Resorts, Inc.","54316074.9","Consumer Services","Hotels/Resorts","nasdaq"
"FMCN","Focus Media Holding Limited","2801407828.18","Technology","Advertising","nasdaq"
"FSBI","Fidelity Bancorp, Inc.","65423639.32","Finance","Major Banks","nasdaq"
"FSCFL","Fifth Street Finance Corp.","0","n/a","n/a","nasdaq"
"FSIN","Fushi Copperweld, Inc.","356401114.08","Basic Industries","Telecommunications Equipment","nasdaq"
"FTCS","First Trust Capital Strength ETF","63747559.3","n/a","n/a","nasdaq"
"FTSL","First Trust Exchange-Traded Fund IV First Trust Senior Loan Fu","25030100.12","n/a","n/a","nasdaq"
"FWM","Fairway Group Holdings Corp.","861975008.64","Consumer Services","Food Chains","nasdaq"
"GBIM","GlobeImmune, Inc.","0","Consumer Durables","Major Pharmaceuticals","nasdaq"
"GCFB","Granite City Food And Brewery Ltd.","18256854.842","Consumer Services","Restaurants","nasdaq"
"GEOY","GeoEye, Inc.","649431964","Consumer Services","Telecommunications Equipment","nasdaq"
"GFNCP","General Finance Corporation","0","Consumer Services","Other Specialty Stores","nasdaq"
"GK","G&K Services, Inc.","938570160","Consumer Services","Other Consumer Services","nasdaq"
"GKSR","G&K Services, Inc.","589522930.8","Consumer Services","Other Consumer Services","nasdaq"
"GLCB","WisdomTree Trust WisdomTree Global Corporate Bond Fund","7498149.96","n/a","n/a","nasdaq"
"GLDI","Credit Suisse Gold Shares Covered Calls ETN","227632515.66","Finance","Investment Bankers/Brokers/Service","nasdaq"
"GLUXR","The Gabelli Global Utility and Income Trust","0","n/a","n/a","nasdaq"
"GNOM","Complete Genomics, Inc.","104347552.08","Health Care","Biotechnology: Commercial Physical & Biological Resarch","nasdaq"
"GRMH","GrayMark Healthcare, Inc.","6820035.3","Health Care","Medical Specialities","nasdaq"
"GSAT","Globalstar, Inc.","163473911.9488","Consumer Services","Telecommunications Equipment","nasdaq"
"GT","The Goodyear Tire & Rubber Company","3709930023","Consumer Durables","Automotive Aftermarket","nasdaq"
"GTPPP","The Goodyear Tire & Rubber Company","0","Consumer Durables","Automotive Aftermarket","nasdaq"
"GWPH","GW Pharmaceuticals Plc","31395000","Health Care","Major Pharmaceuticals","nasdaq"
"HARL","Harleysville Savings Bank","63113406.68","Finance","Major Banks","nasdaq"
"HAVNP","New York Community Bancorp, Inc.","0","Finance","Banks","nasdaq"
"HAWK","Blackhawk Network Holdings, Inc.","274965000","Finance","Finance: Consumer Services","nasdaq"
"HCAP","Harvest Capital Credit Corporation","0","n/a","n/a","nasdaq"
"HCII","Homeowners Choice, Inc.","227061523.59","Finance","Property-Casualty Insurers","nasdaq"
"HCIIW","Homeowners Choice, Inc.","0","Finance","Property-Casualty Insurers","nasdaq"
"HEAT","SmartHeat Inc.","15981326.96","Capital Goods","Building Products","nasdaq"
"HIIQ","Health Insurance Innovations, Inc.","138202484.98","Finance","Specialty Insurers","nasdaq"
"HKTV","Hong Kong Television Network Limited","37244595.15","Public Utilities","Telecommunications Equipment","nasdaq"
"HLYS","Heelys, Inc.","51006446.2","Consumer Non-Durables","Shoe Manufacturing","nasdaq"
"HMTV","Hemisphere Media Group, Inc.","144092010","Consumer Services","Television Services","nasdaq"
"HSFT","HiSoft Technology International Limited","250880476.56","Technology","EDP Services","nasdaq"
"HTWO","HF2 Financial Management Inc.","411885130","Finance","Business Services","nasdaq"
"HYLS","First Trust Exchange-Traded Fund IV First Trust High Yield Lon","25410101.64","n/a","n/a","nasdaq"
"IBTX","Independent Bank Group, Inc","340511022.21","Finance","Major Banks","nasdaq"
"IFSIA","Interface, Inc.","926177536.44","Consumer Durables","Home Furnishings","nasdaq"
"IMCB","Intermountain Community Bancorp","36164087.34","Finance","Savings Institutions","nasdaq"
"IMMY","Imprimis Pharmaceuticals, Inc.","84882787.5","Health Care","Major Pharmaceuticals","nasdaq"
"INBK","First Internet Bancorp","50954631.3","Finance","Banks","nasdaq"
"INFY","Infosys Limited","3250580126.9","Technology","EDP Services","nasdaq"
"INSY","Insys Therapeutics, Inc.","8646286","Health Care","Major Pharmaceuticals","nasdaq"
"IPDN","Professional Diversity Network, Inc.","28530492.3001","Technology","Computer Software: Programming, Data Processing","nasdaq"
"IRDMU","Iridium Communications Inc","0","Consumer Durables","Telecommunications Equipment","nasdaq"
"IRDMW","Iridium Communications Inc","0","Consumer Durables","Telecommunications Equipment","nasdaq"
"IRET","Investors Real Estate Trust","766941975.45","Consumer Services","Real Estate Investment Trusts","nasdaq"
"IRETP","Investors Real Estate Trust","31314500","Consumer Services","Real Estate Investment Trusts","nasdaq"
"IRIS","IRIS International, Inc.","351830400.58","Capital Goods","Biotechnology: Laboratory Analytical Instruments","nasdaq"
"JACQ","COLLABRIUM JAPAN ACQUISITION CORPORATION","56280000","Finance","Business Services","nasdaq"
"JACQW","COLLABRIUM JAPAN ACQUISITION CORPORATION","0","Finance","Business Services","nasdaq"
"JAX","J. Alexander&#39;s Corporation","107152807.86","Consumer Services","Restaurants","nasdaq"
"JDAS","JDA Software Group, Inc.","1465884030.3","Technology","EDP Services","nasdaq"
"KBIO","KaloBios Pharmaceuticals, Inc.","134426933.36","Health Care","Major Pharmaceuticals","nasdaq"
"KFFG","Kaiser Federal Financial Group, Inc.","135991412.76","Finance","Savings Institutions","nasdaq"
"KITD","KIT digital, Inc.","128468823.75","Consumer Services","Diversified Commercial Services","nasdaq"
"KMDA","Kamada Ltd.","0","n/a","n/a","nasdaq"
"KSWS","K-Swiss Inc.","89002070","Consumer Non-Durables","Shoe Manufacturing","nasdaq"
"KYAK","Kayak Software Corporation","1175475327.88","Miscellaneous","Business Services","nasdaq"
"LAND","Gladstone Land Corporation","102721052.72","Consumer Services","Real Estate Investment Trusts","nasdaq"
"LMLP","LML Payment Systems, Inc.","96603659.28","Miscellaneous","Business Services","nasdaq"
"LNET","LodgeNet Interactive Corporation","8962558.15","Consumer Services","Telecommunications Equipment","nasdaq"
"LPDX","LipoScience, Inc.","96708507.01","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","nasdaq"
"LPSB","LaPorte Bancorp, Inc.","64224337.5","Finance","Savings Institutions","nasdaq"
"LPSBD","LaPorte Bancorp, Inc.","39715281.791","Finance","Savings Institutions","nasdaq"
